loan_word,original_word
aba,عَبَاءَة
abdal,أَبْدَال
abidə,آبِدة
aciz,عَاجِز
adam,آدَم
adi,عَادِيّ
adət,عَادَة
adətən,عَادَةً
afət,آفَة
ahıl,عَاهِل
Allah,اللّٰه
Allah-təala,اللَّهُ تَعَالَى
ali,عَلِيّ
alim,عَالِم
aləm,عَالَم
alət,آلَة
amal,أَمَل
amil,عَامِل
an,آن
ar,عَار
araq,عَرَق
arvad,عَوْرَة
Arifə,عَارِفَة
avam,عَوَامّ
axır,آخِر
axirət,آخِرَة
ayə,آيَة
ağıl,عَقْل
ailə,عَائِلَة
babasil,بَوَاسِير
bakir,بَاكِر
bakirə,بَاكِرَة
bamiyə,بَامِيَة
bani,بَانِي
barıt,بَارُود
bariz,بَارِز
baytar,بَيْطَار
beyt,بَيْت
buxar,بُخَار
böhran,بُحْرَان
bürc,بُرْج
bilavasitə,بِلَا وَاسِطَة
bina,بِنَاء
bə's,بَعْث
bədii,بَدِيع
bədən,بَدَن
bəkarət,بَكَارَة
bəla,بَلَاء
bəlağət,بَلَاغَة
bələd,بلد
bələdiyyə,بَلَدِيَّة
bənna,بَنَّاء
bəraət,بَرَاءَة‎
bərəkət,بَرَكَة
bəsit,بَسِيط
bətn,بَطْن
Bəşir,بَشِير
bəşər,بَشَر
bəşəriyyət,بَشَرِيَّة‎
camaat,جَمَاعَة
camış,جَامُوس
casus,جَاسُوس
cavab,جَوَاب
cehiz,جَهِيز
cümlə,جُمْلَة
cümə,جُمْعَة
cüzi,جُزْئِيّ
ciddi,جِدِّيّ
cihaz,جِهَاز
cild,جِلْد
cinayət,جِنَايَة
cins,جِنْس
cinsi,جِنْسِيّ
cəbhə,جَبْهَة
cədvəl,جَدْوَل
cəhd,جَهْد
cəhənnəm,جَهَنَّم
cəhət,جِهَة
cəlb,جَلْب
cəllad,جَلَّاد
Cəlil,جَلِيل
Cəmil,جَمِيل
cəmiyyət,جَمْعِيَّة
cənab,جِنَاب
cənazə,جَنَازَة
cənnət,جَنَّة
cənub,جَنُوب
cərrah,جَرَّاح
cərəyan,جَرَيَان
cəsarət,جَسَارَة
cəsur,جَسُور
cəvabən,جَوَابًا
cəza,جَزَاء
dabbağ,دَبَّاغ
dar,دَار
dava,دَعْوَى
daxil,دَاخِل
