loan_word,original_word
Alacant,اَللَقَنْت
albelló,الْبَلُّوعَة‎
alcalde,اَلْقَاضِي
Alcàntara,اَلْقَنْطَرَة
alcaravia,كَرَاوِيَا
Alcàsser,اَلْقَصْر
alcàsser,اَلْقَصْر
Alcossebre,القُصَيْبَة
Alep,ﺣَﻠَﺐ
alfals,الْفَصْفَصَة
alficòs,فَقُّوس
almívar,مَيْبَة
alquena,الْحِنَّاء‎
alquequengi,الْكَاكَنْج‎
alqueria,الْقَارِيَة‎
alquímia,اَلْكِيمِيَاء
ambre,عَنْبَر
assot,السَوْط
assut,سُدّ
atzar,الزَهْر
atzavara,الصُّبَّارَة‎
atzucac,اَلزُّقَاق
avaria,عَوَارِيَّة
banús,أَبْنُوس
barnús,بُرْنُس
barri,بَرِّيّ
benjuí,لُبَان جَاوِيّ
búrgul,بُرْغُل
caduf,قَادُوس
cascall,خَشْخَاش
catifa,قطيفة
cofa,قفة
dírham,دِرْهَم
drus,دُرُوز
Eivissa,يَابِسَة
falca,فَلْقَة
fideu,فِدَاوِش
garbell,غِرْبَال
garbí,غربي
garrofa,خَرُّوبَة
garrova,خَرُّوبَة
gasa,قَزّ
gasela,غَزَالَة
gatzara,غَزَارَة
gerra,جَرَّة
gessamí,يَاسَمِين
guitarra,قِيثَارَة
jerbu,جَرْبُوع
jota,شَطْحَة
llambre,الْعَنْبَر‎
mancala,مَنْقَلَة
marfil,عَظْم اَلْفِيل
marraixa,مَرَشّ
matafaluga,الْحَبَّة الْحُلْوَة
matalaf,مَطَرَح
mesquí,مِسْكِين
mesquita,مَسْجِد
moixama,مُشَمَّع
moraga,مؙحْرؘقؘه
mossàrab,مُسْتَعْرَب
mudèjar,مُدَجَّن
quintar,قِنْطَار
ràfec,رَفّ
ramadà,رَمَضَان
ratxa,رَجّة
riba,رِبًا
safareig,صِهْرِيج
safata,سَفَط
safrà,زَعْفَرَان
salat,صَلَاة
sanefa,صَنِفَه
seca,سِكَّة
setra,سَطْلَة
Sevilla,إِشْبِيلِيَة
síndria,سِنْدِيَّة
sosa,سُوَيْدَاء
sumac,سُمَّاق
sura,سُورَة
tabal,طَبْل
tafur,تَكْفُور
talaia,طَلائِع
tanda,تَنْظِيم
tara,طَرْحَة
taronja,تُـرُنْج
tassa,طَاس
tàvega,طَبَقَة
tova,طُوب
tramús,تُرْمُس
turc,تُرْكِيّ
xabec,شُبَّاك
xacra,شَكَا
xauarma,شَاوِرْمَا
xeic,شَيْخ
xifra,صِفْر
