loan_word,original_word,other_etymology,other_meaning
佩斯,Pest,hungarian,Pest
加納,加納,japanese,"An orthographic borrowing of the Japanese surname 加納, Kanō"
塞特,שֵׁת,biblical hebrew,Seth
斯坦,ـستان,persian,-stan
斯坦,Stein,german,-stein
斯坦,Stains,french,Stains
比薩,pizza,italian,pizza
沙龍,salon,french,salon
沙龍,שָׁלוֹם,biblical hebrew,shalom
特克斯,ᡨᡝ᠋ᡴᡝᠰ,manchu,Tekes County
皮爾,Pierre,french,A transliteration of the French male given name Pierre
皮爾,Pure,french,Pure
盧安達,Luanda,portuguese,Alternative name for 羅安達／罗安达
米蘭,Alternative name for,slavic,Milan
西冷,Serang,indonesian,Serang
赫爾,Geel,dutch,Geel
赫爾,Höör,swedish,Höör
赫爾,Hel,polish,Hel
露西亞,Росси́я,japanese,Russia
香檳,champagne,french,champagne
馬克,mark,german,mark
馬可,Μᾶρκος,ancient greek,Mark
麥克,màikèfēng,japanese,microphone
