loan_word,original_word
à bas,à bas
à bouche,à bouche
à contrecœur,à contrecœur
à deux,à deux
a go-go,à gogo
à gogo,à gogo
a la,à la
à la,à la
à la carte,à la carte
a la minute,à la minute
a la mode,à la mode
à la russe,à la russe
à outrance,à outrance
à propos de bottes,à propos de bottes
à trois,à trois
-a-,à
abacost,à bas
abaissé,abaissé
abandon,abandoner
abandonment,abandonnement
abaque,abaque
abat-vent,abat-vent
abat-voix,abat-voix
abatis,abatis
abatjour,abat-jour
abatsons,abatsons
abattage,abattage
abattoir,abattoir
abbé,abbé
Abbeville,Abbeville
abduction,abductus
Abenaki,abénaqui
abime,abime
ablegate,ablégate
ablet,ablet
abonné,abonné
abonnement,abonnement
abordage,abordage
abracadabrant,abracadabrant
abrasion,abrasion
abreuvoir,abreuvoir
abri,abri
Abri Audit,Abri Audit
absinthe,absinthe
abstention,abstention
abstruse,abstrus
academist,académiste
acajou,acajou
acclimate,acclimater
accolade,accolade
accolé,not comparable
accommodation,accommodation
accomplishment,accomplissement
accouchement,accouchement
accoucheur,accoucheur
accoucheuse,accoucheuse
accouplement,accouplement
accouter,accoutrer
accusator,accusateur
acerbity,acerbité
acetylene,acétylène
acid,acide
acidification,acidification
acieration,acier
aconite,aconit
acouchi,acouchi
acquiescence,acquiescence
acquis,acquis
acquis communautaire,acquis communautaire
Acre,Acre
acte clair,acte clair
acte gratuit,acte gratuit
actinium,actinium
adaptation,adaptation
adaptee,adaptée
Adelaide,Adélaïde
Adele,Adèle
adenoid,adénoïde
admirative,admiratif
adoptee,adoptée
adorable,adorable
adret,adret
Adrien,Adrien
adroit,adroit
aeronautics,aéronautique
aeroplane,aéroplane
affaire d'honneur,affaire d'honneur
affiche,affiche
affineur,affineur
affranchi,affranchi
affronté,affronté
agacerie,agacerie
agami,plural
agent provocateur,agent provocateur
agente provocatrice,agente provocatrice
agents provocateurs,agents provocateurs
agglutination,agglutination
aggrandize,agrandir
agiotage,agiotage
agitation,agitation
agonic,agonique
agraffe,agrafe
agrément,agrément
agrémens,agrémens
aide,aide
aide-de-camp,aide-de-camp
aide-mémoire,aide-mémoire
aigrette,aigrette
aiguille,aiguille
aileron,aileron
ailette,ailette
Aimee,Aimée
aioli,aïoli
air de cour,air de cour
air du temps,air du temps
-aire,millionnaire
ajutage,ajutage
ala,à la
alban,albane
Albertine,Albertine
albicore,albicore
albumin,albumine
Alcindor,Alcindor
alcool,alcool
alcove,alcôve
alembic,alambic
Alençon,Alençon
Alep,Alep
alépine,alépine
alert,alerte
alevin,alevin
alexanders,alisander
Alexandre,Alexandre
Alexis,Alexis
Algeria,Algérie
alidade,alidade
aligot,aligot
aligoté,plural
aliment,aliment
alimentation,alimentation
Alina,Aline
Aline,Aline
alizari,alizari
alizarin,alizarine
allée,allée
allemande,allemande
alley oop,allez-hop!
alloglot,alloglote
allonge,allonge
allumette,plural
almadie,almadie
almucantar,almicantarat
alose,alose
Alphonse,Alphonse
alternat,feminine
altruism,altruisme
amaranth,amarante
amateur,amateur
amatrice,amatrice
ambassade,ambassade
ambassadry,embassadrie
ambiance,ambiance
ambigu,ambigu
ambrette,ambrette
ambulance,ambulance
ambulancier,ambulancier
ambuscade,embuscade
ameliorate,améliorer
amelioration,amélioration
amende,amende
amende honorable,plural
amical,amical
amidin,amidine
Amirault,Amirault
ammunition,amunition
amniotic,amniotique
amollishment,amollissement
amour,amour
amour propre,amour-propre
amourette,amourette
ampère,ampère
amphigory,amphigouri
ampoule,ampoule
amuse-bouche,amuse-bouche
amusement,amusement
amusette,amusette
anacyclic,anacyclique
anagram,anagramme
analphabete,analphabète
ananas,ananas
anatase,anatase
anatron,anatron
Ancien Régime,Ancien Régime
ancien régime,ancien régime
andouille,andouille
anecdote,anecdote
angary,angarie
Angeline,Angeline
angelique,angélique
angélique,angélique
Angelle,Angelle
angelot,angelot
Angers,Angers
Angevine,angevin
angiotenic,angioténique
anhedonia,anhédonie
animalier,animalier
animality,animalité
animateur,animateur
animatrice,animatrice
anime,animé
animé,animé
anisette,anisette
Anjouan,Anjouan
annalist,annaliste
Annam,Annam
Annette,Annette
annex,annexe
anomal,anomal
anomie,anomie
antibiotic,antibiotique
antipodism,antipodisme
antipodist,antipodiste
antique,antique
Antoine,Antoine
aoudad,audad
apanage,apanage
apartment,appartement
aperçu,aperçu
apéritif,apéritif
aphylactic,aphylactique
aplomb,aplomb
aplome,aplome
apogee,apogée
apologue,apologue
apology,apologie
apoplectic,apoplectique
appaumé,not comparable
appel,appel
apperception,aperception
appertisation,appertisation
applique,appliqué
appui,appui
apres,après
après,après
après-,après
après-ski,après-ski
apropos,à propos
aquapharyngeal,aquo-pharyngien
aquarelle,aquarelle
Aquitaine,Aquitaine
arabesque,arabesque
arachnid,arachnide
arbitrage,arbitrage
arbitrager,arbitragiste
arbitrageur,arbitrageur
arbitragist,arbitragiste
arbor,erbier
arborescence,arborescence
arbust,arbuste
arc boutant,arc-boutant
Arc de Triomphe,Arc de Triomphe
arc-boutant,arc-boutant
arcade,arcade
arcature,arcature
archaeologue,archéologue
archduchess,archiduchesse
archetier,archetier
archiater,archiâtre
archimandrite,archimandrite
architecture,architecture
areic,surfacique
areole,aréole
arête,arête
argot,argot
Ariane,Ariane
ariette,ariette
Arkansas,Arcansas
Arles,Arles
Arlon,Arlon
Armagnac,Armagnac
Armel,Armel
armet,armet
armoire,armoire
armure,armure
Arpajon,Arpajon
arpent,arpent
arquebusade,arquebusade
arrestation,arrestation
arrière-garde,arrière-garde
arrière-pensée,arrière-pensée
arriviste,arriviste
arrondissement,arrondissement
Arsenault,Arsenault
Arseneau,Arseneau
Arseneault,Arseneault
Art Deco,Art déco
Art Nouveau,art nouveau
Artagnan,Artagnan
artisan,artisan
artiste,artiste
artistic,artistique
ascendeur,ascendeur
aspic,aspic
aspirant,aspirant
assart,essart
assassin,assassin
assemblage,assemblage
assiette,assiette
Assiniboine,Assiniboine
assise,assise
assonance,assonance
Asterix,Astérix
astrologue,astrologue
atelier,atelier
atmosphere,atmosphère
atrophy,atrophie
attaché,attaché
attachment,attachement
attaché case,attaché
attack,attaque
attentisme,attentisme
attic,attique
attitude,attitude
au contraire,au contraire
au courant,au courant
au fait,au fait
au gratin,au gratin
au jus,au jus
au naturel,au naturel
au pair,être au pair
au revoir,au revoir
aubade,aubade
aubaine,aubain
Aube,Aube
auberge,auberge
aubergine,aubergine
aubergiste,aubergiste
Aubin,Aubin
Auble,Auble
Aucoin,Aucoin
Aude,Aude
Audet,Audet
Audett,Audett
Audette,Audette
Auger,Auger
Augier,Augier
auguste,auguste
Aurès,Aurès
Australasia,Australasie
auteur,auteur
autoclave,autoclave
autocrat,autocrate
autofiction,autofiction
autogestion,autogestion
automatic,automatique
automobile,automobile
autoroute,autoroute
autotomy,autotomie
Auvergne,Auvergne
aval,aval
avalanche,avalanche
avalement,avalement
avant la lettre,avant la lettre
avant-garde,avant-garde
avant-texte,uncountable
aven,aven
aventurine,aventurine
avenue,avenue
avertissement,avertissement
avertissement nucléaire,avertissement nucléaire
aviation,aviation
aviator,aviateur
Avignon,Avignon
avocat,avocat
avoyer,avoyer
Avril,avril
axunge,axonge
Aydelotte,Aydelotte
Ayn,Ayn
azedarach,azédarach
azote,azote
baba au rhum,baba au rhum
babiroussa,babiroussa
babouche,babouche
babul,baboul
Baby,Baby
bac,bac
baccalaureat,baccalauréat
baccalaureate,baccalauréat
baccarat,baccarat
back,bac
backet,baquet
bacteriophage,bactériophage
badaud,badaud
badelaire,badelaire
badian,badiane
Badie,Badié
badigeon,badigeon
badinage,badinage
badine,badine
badinerie,badinerie
bagasse,bagasse
bagatelle,bagatelle
Bagnères-de-Luchon,Bagnères-de-Luchon
bague,bague
baguette,baguette
bahut,bahut
baignoire,baignoire
bail,bailler
Bailly,Bailly
bain-marie,bain-marie
baisemains,baisemains
bakeapple,"baie, qu'appelle"
bal musette,bal musette
balancelle,balancelle
balayage,balayage
balayeuse,balayeuse
balcon,balcon
baldacchin,baldaquin
baldaquin,baldaquin
Balduc,Balduc
balise,balise
ballad,ballade
ballade,ballade
balladine,balladine
ballet,ballet
balletomane,balletomane
ballon,ballon
ballon d'essai,ballon d'essai
ballonet,ballonnet
ballonnement,ballonnement
ballottement,ballottement
balustrade,balustrade
banal,banal
banality,banalité
bancassurance,bancassurance
bandage,bandage
bandeau,bandeau
bandy,bander
Bankass,Bankass
banlieue,banlieue
banneret,banneret
