loan_word,original_word,other_etymology,other_meaning
-a-,Jak,middle english,"Connective interfix used in forming compounds, often no longer carrying a distinct meaning"
-a-,Exmoor Scolding,middle english,And
abandon,abandounen,middle english,"To give up or relinquish control of, to surrender or to give oneself over, or to yield to one's emotions"
Acre,Acre,portuguese,"A state of the North Region, Brazil"
Acre,Aakre,norwegian,A surname​
anime,アニメ,japanese,"An artistic style originating in, and associated with, Japanese animation, and that has also been adopted by a comparatively low number of animated works from other countries"
Annam,An Nam,vietnamese,"A former colonial province of China, now part of Vietnam's present-day Tonkin"
annex,annexen,middle english,"To add something to another thing, especially territory"
arbor,arbour,middle english,"A shady sitting place or pergola usually in a park or garden, surrounded by climbing shrubs, vines or other vegetation"
aval,avus,latin,"Of, related to, or characteristic of a grandparent"
back,bak,middle english,At or near the rear
bail,baille,middle english,"Security, usually a sum of money, exchanged for the release of an arrested person as a guarantee of that person's appearance for trial"
bail,beyl,middle english,"A hoop, ring or handle"
bandy,bandy,scots,"Bowlegged, or bending outward at the knees"
bandy,bando,welsh,"A winter sport played on ice, from which ice hockey developed"
bandy,plural,telugu,"A carriage or cart used in India, especially one drawn by bullocks"
bat,natt-batta,swedish,"Any of the flying mammals of the order Chiroptera, usually small and nocturnal, insectivorous or frugivorous"
bat,bat,middle english,"A club made of wood or aluminium used for striking the ball in sports such as baseball, softball and cricket"
bijou,bijou,sabir,"small, little"
Blon,Блонь,belarusian,A settlement in Belarus
bombard,bombard,middle english,"a medieval primitive cannon, used chiefly in sieges for throwing heavy stone balls"
bone,bon,middle english,A composite material consisting largely of calcium phosphate and collagen and making up the skeleton of most vertebrates
boule,βουλή,ancient greek,A council of citizens in Ancient Greece
bourgeois,burjois,middle english,"A size of type between brevier and long primer, standardized as 9-point"
braze,brasen,middle english,"To cover with brass, or as with brass"
brazier,brasier,middle english,A worker in brass
bride,bride,middle english,A woman in the context of her own wedding
bruit,bruit,middle english,"Hearsay, rumour"
buffet,buffet,middle english,"A blow or cuff with or as if with the hand, or by any other solid object or the wind"
buffet,buffeten,middle english,To strike with a buffet
busk,busken,middle english,To prepare
cape,capen,middle english,"To look for, search after"
caporal,caporal,spanish,A foreman or overseer
carene,carēnum,latin,Synonym of carenum
carene,carēna,medieval latin,A 40-day fast or period of similar abstinence
caret,caret,latin,A mark ⟨ ‸ ⟩ used by writers and proofreaders to indicate that something is to be inserted at that point
cashier,casseren,dutch,To dismiss from service
cashier,cassier,dutch,One who works at a till or receives payments
cassation,Kassation,german,"A piece of instrumental music of the eighteenth century similar to the serenade, and often performed outdoors"
cerebral,मूर्धन्य,sanskrit,Retroflex
champ,champen,middle english,a meal of mashed potatoes and scallions
chasse,chasse,middle english,A reliquary casket
chic,chiʼik,yucatec maya,A kind of ritual buffoon or clown in Yucatec Maya culture
chichi,chichi,mexican spanish,A woman's breast
close,closen,middle english,To remove a gap
Core,κόρη,ancient greek,"The birth name of Persephone/Proserpina, the queen of the Underworld/Hades, and goddess of the seasons and of vegetation"
correct,correcten,middle english,To make something that was wrong become right
cue,cu,middle english,The name of the Latin-script letter Q
cue,quandō,latin,An action or event that is a signal for somebody to do something
decime,decima,latin,Synonym of tithing
dent,dent,middle english,"A shallow deformation in the surface of an object, produced by an impact"
desert,desert,middle english,That which is deserved or merited
desert,desert,middle english,"A barren area of land or desolate terrain, especially one with little water or vegetation"
dey,deye,middle english,A servant who has charge of the dairy
diablo,diablo,spanish,the devil
dot,*dot,middle english,"A small, round spot"
erg,ἔργον,ancient greek,"The unit of work or energy, being the amount of work done by a force of one dyne applied through a distance of one centimeter"
fin,fin,middle english,"One of the appendages of a fish, used to propel itself and to manoeuvre/maneuver"
fin,פֿינף,yiddish,a five-pound note
fish,fisch,middle english,"A cold-blooded vertebrate animal that lives in water, moving with the help of fins and breathing with gills"
fish,fiscian,old english,To hunt fish or other aquatic animals in a body of water
fisher,fischer,middle english,"A person who catches fish, especially for a living or for sport"
floss,flosche,middle english,A small stream of water
floss,flos,north germanic,The common rush
fraise,fraisen,middle english,"To put in danger, in terror, or at risk"
gall,galle,middle english,"Bile, especially that of an animal"
gelee,gele,yoruba,A traditional form of West African headwrap worn by women
gimp,gimp,dutch,"A narrow ornamental fabric or braid of silk, wool, or cotton, often stiffened with metallic wire or coarse cord running through it, used as trimming for dresses, curtains, furniture, etc"
gimp,gwymp,welsh,Neat
gland,glam,scots,"A compressable cylindrical case and its contents around a shaft where it passes through a barrier, intended to prevent the passage of a fluid past the barrier, such as"
Goh,Gô͘,min nan,"A Chinese surname, from Min Nan​"
gout,goute,middle english,"An extremely painful inflammation of joints, especially of the big toe, caused by a metabolic defect resulting in the accumulation of uric acid in the blood and the deposition of urates around the joints"
grill,grillen,middle english,To make angry
grill,gril,middle english,"Harsh, rough, severe"
in-,in-,middle english,"in, into"
instant,instant,middle english,A very short period of time
jade,jade,middle english,A horse too old to be put to work
journal,journal,middle english,"A diary or daily record of a person, organization, vessel etc"
jube,ζίζυφον,ancient greek,A type of gelatine-based confection
La Tache,La Tache,spanish,"A municipality of California, United States"
Lemans,Lemans,middle english,"A surname, from English​"
Lemans,,dutch,"A surname, from Dutch​"
lever,lever,middle english,"A rigid piece which is capable of turning about one point, or axis , and in which are two or more other points where forces are applied"
lever,lever,middle english,Rather
lisse,līssian,old english,"To relieve, mitigate, assuage"
lurch,lurcāre,latin,To swallow or eat greedily
Lyon,lyon,middle english,"A surname, from nicknames​"
macaroon,macarone,italian,"A coarse, rude, low fellow"
Maire,Máire,irish,A female given name from Irish
maki,巻き,japanese,"makizushi, a form of sushi that is rolled"
Maura,Maura,catalan,A surname​
Metis,Μῆτις,ancient greek,"A Titan who was the personification of wisdom, the first spouse of Zeus, and the mother of Athena"
metis,μῆτις,ancient greek,Practical intelligence
metre,metrum,old english,The rhythm or measure in verse and musical composition
Milan,Milano,italian,"The capital city of Lombardy, Italy"
Milan,Patronymics,slavic,A male given name from the Slavic languages
Milot,Milot,albanian,"A town in northwestern Albania, located just south of the left bank of the river Mat near the Zogu Bridge below the western slope of the Mali e Sukës"
mine,min,middle english,That which belongs to me
mine,mine,middle english,"An excavation from which ore or solid minerals are taken, especially one consisting of underground tunnels"
Misson,mos,old english,"A village and civil parish in Bassetlaw district, Nottinghamshire, England"
moil,mollen,middle english,"To toil, to work hard"
More,mór,scottish gaelic,"A surname, from Scottish Gaelic​"
mort,margt,icelandic,A great quantity or number
Mura,Mura,slovene,One of the statistical regions of Slovenia
Mura,Mura,catalan,A surname​
Murat,Murat,turkish,"a river in the Armenian Highland, a tributary of the Euphrates"
nap,nappen,middle english,"A short period of sleep, especially one during the day"
nap,noppe,middle english,"A soft or fuzzy surface, generally on fabric or leather"
nap,nappa,north germanic,To grab
nap,nap,middle english,"A cup, bowl"
Necker,Neckere,dutch,"Ellipsis of Necker Island An island in the British Virgin Islands, United Kingdom, in the West Indies, Caribbean, Atlantic Ocean"
Necker,Necker,german,"A surname, from German​"
nee,ne,old english,"no, used to express no as a quantity, i"
nome,νόμος,ancient greek,A type of musical composition in Ancient Greece
paillard,palliard,middle english,Alternative form of palliard
