loan_word,original_word
Abelmann,Abelmann
Abeln,Abeln
Abend,Abend
abendmusik,Abendmusik
Abgesang,Abgesang
abgeschmackt,abgeschmackt
Abitur,Abitur
Abiturient,Abiturient
ablaut,Ablaut
Abler,Abler
abraum,abräumen
abseil,abseilen
abstand,Abstandsprache
accordion,Akkordeon
ach-laut,Ach-Laut
Ackert,*Agjōharduz
acra,Akren
acronym,Akronym
actograph,Aktograph
Adel,*aþalaz
Adelmann,Adelmann
adenine,Adenin
adsorption,Adsorption
AfD,AfD
Affenspalte,Affenspalte
Afterlehen,Afterlehen
agamont,Agamont
Ahaus,Ahaus
Ahlborn,Ahlborn
Ahlen,Ahlen
ahlspiess,Ahlspieß
Ahmann,Ahmann
Ahnenerbe,Ahnenerbe
ahnentafel,Ahnentafel
Aigner,Aigner
airorhynchy,Airorhynchie
aktionsart,Aktionsart
alampy,Alampie
albumblatt,Albumblatt
aldehyde,Aldehyd
alexin,Alexine
algolagnia,Algolagnie
Alig,Alig
alkane,Alkan
alkapton,Alkapton
allele,Allel
allergy,Allergie
alles anderes ist Menschenwerk,alles
Allgaier,Allgaier
Allgeier,Allgeier
allopathy,Allopathie
Alms,Alms
alpenstock,Alpenstock
alpenstocker,alpenstöcker
alphorn,Alphorn
altbier,Altbier
Altdorf,Altdorf
Altenhofen,Altenhofen
Altschul,Altschul
ambivalence,Ambivalenz
Ambs,Ambs
Amerika,Amerika
Amtmann,Amtmann
Anaheim,Anaheim
Anderle,Anderle
Andrist,Andrist
angst,Angst
Anheuser,Anheuser
aniline,Anilin
animism,Animismus
anlage,Anlage
anlaut,Anlaut
ansatz,Ansatz
Ansbacher,Ansbacher
anschauung,Anschauung
Anschluss,Anschluss
Anspach,Anspach
Ante,Ante
anti-Semite,Antisemit
Antifa,Antifa
apatite,Apatit
apfelstrudel,Apfelstrudel
apomixis,Apomixis
apophenia,Apophänie
App,App
Appelhans,Appelhans
Appelt,Appelt
Appenzeller,Appenzeller
aquastor,aquastor
Arends,Arends
arginine,Arginin
Ariosophy,Ariosophie
Arklitten,Arklitten
Arlberg,Arlberg
Arlberg Pass,Arlbergpass
Armin,Armin
Arns,Arns
Arps,Arps
Arys,Arys
Aschaffenburg,Aschaffenburg
Asimus,Asimus
Asmus,Asmus
Asperger,Asperger
Aspirin,Aspirin
Auer,Auer
Auerbach,Auerbach
Auernheimer,Auernheimer
Auf der Maur,Auf der Maur
auf Wiedersehen,auf Wiedersehen
aufeis,Aufeis
Aufgabe,Aufgabe
Aufklärer,Aufklärer
Aufklärung,Aufklärung
auflauf,Auflauf
aufwuchs,Aufwuchs
Augsburger,Augsburger
Aumann,Aumann
auratic,auratisch
aurochs,Aurochs
ausbau,Ausbausprache
Ausbruch,Ausbruch
auslaut,Auslaut
auslese,Auslese
austausch,Austausch
Austerlitz,Austerlitz
Austroasiatic,Austroasiatisch
Austronesian,Austronesisch
autism,Autismus
autobahn,Autobahn
autological,autologisch
automat,Automat
autotomy,Autotomie
Axt,Axt
Baaden,Baaden
Baatz,Baatz
Babler,Babler
backfisch,Backfisch
Baden-Baden,Baden-Baden
Baedeker,Baedeker
Baerbock,Bärbock
Bahler,Bähler
Bahner,Bahner
Baller,Baller
Balsam,Balsam
Balster,Balster
Balter,Balter
Band,Band
Bandel,Bandel
Bank,*bankô
Barbian,Barbian
Barbock,Bärbock
Barendt,Barendt
Barfuss,Barfuss
Barlage,Barlage
Barndt,Barndt
barouche,Barutsche
Barten,Barten
Barthold,Barthold
Bartmann jug,Bartmann
Bartnick,Bartnick
Basel-Landschaft,Basel-Landschaft
Basel-Stadt,Basel-Stadt
Basse,Basse
basset horn,Bassetthorn
Bathke,Bathke
Battenberg,Battenberg
Battenberger,Battenberger
batz,Batz
Batzel,Batzel
batzen,Batzen
Bau,Bau
Baucke,Baucke
baud,*balþaz
Bauer,Bauer
Bauhaus,Bauhaus
Baum,Baum
Baumann,Baumann
Baumkuchen,Baumkuchen
bauplan,Bauplan
Bauserman,Bauserman
bean counter,Erbsenzähler
bebung,Bebung
Bechler,Bechler
Bechtel,Bechtel
Becker,Becker
Beeker,Beeker
Beese,Beese
Beethoven,beet hoven
Behnken,Behnken
Behrle,Behrle
beikost,Beikost
Beilfuss,Beilfuss
Beilke,Beilke
Beisler,Beisler
Beit,Beit
Beitz,Beitz
Belger,Belger
belletrist,Belletrist
Belling,Belling
Belting,Belting
Benecke,Benecke
Benesch,Benesch
Bengel,Bengel
Benne,Benne
Benz,Benz
Berbock,Bärbock
Berchtold,Berchtold
Bereitschaftspotential,Bereitschaftspotential
Bergfeld,Bergfeld
bergfried,Bergfried
Berggruen,Berggrün
Berghoff,Berghoff
bergshrund,Bergschrund
bergstock,Bergstock
Beringer,Beringer
Berliner,Berliner
Berling,Berling
Bernards,Bernards
Berndt,Berndt
Bernhardt,Bernhardt
Bernskoetter,Bernskötter
Bernstein,Bernstein
Berres,Berres
Bersch,Bersch
Bertke,Bertke
bertram,Bertram
Besserwisser,Besserwisser
Bessinger,Bessinger
Bethe,Bethe
Betker,Betker
Bett,Bett
Bettenhausen,Bettenhausen
Bettin,Bettin
