loan_word,original_word,other_etymology,other_meaning
aari,aari,aari,an Aari
haka,*hagaz,proto-germanic,olla haka jossakin
halli,*halli,proto-finnic,"grey seal, Halichoerus grypus"
kappa,skap,germanic,"a unit of measure for the volume of dry goods, equivalent to 1/32 of a tynnyri or 4"
kappa,かっぱ,japanese,kappa
keila,keila,icelandic,"cusk, Brosme brosme"
kiltti,kilt,english,kilt
kolata,*kolat'ak,proto-finnic,Synonym of kolistaa
kolli,*koĺe,proto-uralic,tomcat
kousa,ковш,russian,"ladle, dipper"
Kreeta,Κρήτη,ancient greek,Crete
kuori,*koori,proto-finnic,skin
kurkku,*kurkku,proto-finnic,throat
lakka,*lakka,proto-finnic,"shelter, canopy"
liivi,liivi,estonian,Livonian
lätti,Lettisch,german,Latvian
mara,mará,spanish,mara
mokka,mocha,english,mocha
paali,पालि,sanskrit,Pali
palli,bǫllr,old norse,"in plural, balls"
pankko,*bankô,proto-germanic,a bench located by the stove
pata,*pata,proto-finnic,cauldron
pii,*pii,proto-finnic,silicon
pii,*pii,proto-finnic,"thorn, prong, tooth or similar element e"
pii,πεῖ,ancient greek,pi
pioni,pion,english,pion
puola,*poola,proto-finnic,cowberry
pursu,purs,gutnish,Alternative form of suopursu
putti,putt,english,putt
ralli,rally,english,rally
riisi,грызь,russian,rachitis
rosteri,roster,english,roster
roti,रोटी,hindi,roti
siili,siil,estonian,hedgehog
sortti,shortstop,english,shortstop
talja,*talja,proto-finnic,fleece
talla,*talla,proto-finnic,sole
tammi,*tammi,proto-finnic,oak
tavata,*tabat'ak,proto-finnic,to meet
tavi,tavi,karelian,common teal
tee,tē,latin,The name of the Latin-script letter T
teisti,theist,english,theist
tokka,doahkki,sami,"A large herd, especially of reindeer"
toppi,top,english,top
traakki,thrāx,latin,Thracian
turkki,*turkki,proto-finnic,fur
tuuma,ду́ма,russian,"thought, idea"
vasa,*vasa,proto-finnic,"fawn, calf"
