loan_word,original_word
abalone,abalone
Abby,Abby
Aberdeen,Aberdeen
AC45,AC45
AC72,AC72
AC90,AC90
addiction,addiction
adrénaline,adrenaline
afforder,afford
AFM,AFM
after-dinner,after dinner
agnostique,agnostic
airbag,airbag
albatros,albatross
all dressed,all-dressed
aluminium,aluminium
anode,anode
API,API
appendicite,appendicitis
aquafaba,aquafaba
aquaplaning,aquaplaning
Asbestos,asbestos
Auckland,ak
audit,audit
Audrey,Æþelþryþ
auto-stop,stop
ba,where
baby-sitter,baby-sitter
babyboom,baby boom
bachelor,bacheler
back,bak
backgammon,gamen
backside,frontside
bader,bad
badge,badge
badlands,badlands
badminton,badminton
baffle,baffle
bagel,bee
baggy,baggy
balloune,balloon
bar,barre
barbecue,barbecue
barmaid,barmaid
barman,barman
barrel,barel
base-ball,base-ball
baseball,baseball
basket-ball,basketball
baud,bold
bazooka,bazooka
be-bop,bebop
beach,"bache, bæcche"
beatnik,beatnik
bébé-boumeur,baby boomer
bécosses,backhouse
beefsteak,beefsteak
bendo,bando
best-seller,best-seller
bicurieux,bicurious
bifteck,beefsteak
big air,big air
Big Apple,Big Apple
Big Mac,Big Mac
biker,biker
bikeur,biker
bill,bill
binge-watcher,binge-watcher
biopic,biopic
BIP,BIP
birdie,birdie
bitch,biche
bitcoin,bitcoin
black,blak
blockbuster,blockbuster
blog,blog
bloody mary,bloody mary
blues,blues
bluff,bluff
bluffer,bluff
blush,blusshen
boat-people,boat people
bob,bobben
bodybuilding,bodybuilding
bogey,bugge
bogue,bug
boiler,boiler
bol,ball
bomber,bomber
bonus,bonus
boob,boob
booker,bokere
bookmaker,bokmakere
boom,boom
boomer,boomer
boomerang,boomerang
bootlegger,bootlegger
boss,bos
bottom,botme
bouledogue,bulldog
bowling,bowling
box-office,box office
boy,boy
boycott,boycott
break,breken
Brexit,Brexit
Brian,Brian
briefing,briefing
Brixton,Brixton
Broadway,Broadway
Brown,Brown
brownie,brownie
brunch,brunch
budget,bogett
bugle,bugle
building,bildyng
bulldog,bulldog
bullshit,bullshit
bullshitter,bullshit
bunker,bunker
business,busines
businessman,businessman
businesswoman,plural
butch,butch
buzz,*bussen
Cab,Cab
cabine,cabin
caddy,caddy
cake,cake
caméra,camera
caméraman,cameraman
camérawoman,camerawoman
camp,kampe
canaque,kanaka
Canso,Canso
Canterbury,Caunterbury
caper,cap
Cappe,Cappe
car,carre
cardigan,cardigan
carencro,carrion crow
cargo,cargo
carmeltazite,carmeltazite
Carpenter,Carpenter
carpette,carpet
cash,cash
casting,castynge
Célestial,Celestial
cent,cent
chadègue,shaddock
chai,chai
challenge,chalenge
charter,charter
chat,chat
cheat,acheten
cheddar,cheddar
chelem,slam
chelin,shilling
chewing-gum,chewing gum
chips,chips
choker,choke
chum,chum
chutney,chutney
clamp,clamp
clan,clan
clinch,clinch
clip,clippen
clown,clown
club,clubbe
cluster,cluster
coach,coach
cockpit,cockpit
cocktail,cocktail
coke,colk
comeback,comeback
comité,committee
complétion,completion
consumérisme,consumerism
container,conteyner
contredanse,country dance
contreproductif,counterproductive
cookie,cook
cool,cool
copycat,copycat
copyright,copyright
Corcoran,Corcoran
corgi,corgi
cork,cork
corner,corner
cosom hockey,cosom hockey
cotidal,cotidal
cottage,cotage
court,court
cover,coveren
covergirl,cover girl
crack,crakken
crawl,crawlen
cricket,creket
croquet,croquet
crowdfunding,crowdfunding
crumble,*crymblen
cummingtonite,cummingtonite
curling,curling
curryfication,(Haskell) Curry
customiser,customise
dandy,dandle
date,date
Davis,Davis
dead,ded
deader,dead
deal,del
dealer,delare
dealeur,dealer
déboguer,debug
démarketing,demarketing
derby,derby
design,designen
designer,designer
desperado,desperate
destroyer,destroyer
détective,detective
Detroit,district
dianétique,Dianetics
dinosaure,dinosaur
diode,diode
directer,direct
distancer,distance
Djeferson,Jefferson
dollar,dollar
domper,dump
donut,donut
doper,dope
doping,doping
draft,draught
drainer,drain
dribble,dribble
drink,drynken
driver,drivere
driveur,driver
drone,drane
drop,droppe
dropper,drop
Dubay,Dubay
dubstep,dubstep
duffel-coat,duffel coat
eagle,egle
écouter,auscultate
Edmonton,Adelmetone
électricité,electricity
électro,electro
Éliot,Elliott
email,email
empathie,empathy
EO,EO
escalator,plural
establishment,*establishment
Etobicoke,Etobicoke
express,express
externalité,externality
fair-play,fair play
fake news,fake news
fan,fan
Fanny,Fanny
fantasy,fantasy
FAQ,FAQ
Far West,far west
fashionable,fashionable
fat bike,fat bike
fax,fax
featurette,featurette
feedback,feedback
feeling,felynge
fem,femme
ferry,ferien
festival,frēols
film,filme
fioul,fuel
firme,firm
firmware,firmware
fitness,fitness
fixe,fix
flamer,flame
flanelle,flannel
flash,flasshen
flibustier,freebooter
flirt,gill-flurt
flirter,fleardere
flu,flu
flush,flusshen
flyer,flyer
folklore,folclar
follower,folwer
food truck,food truck
foodista,foodista
foodtruck,food truck
football,footbal
footing,fotyng
forum,forum
Francis,Francis
frappuccino,frappuccino
freestyle,freestyle
freezer,freezer
french,French
frencher,French kiss
frisbee,plural
Frobisher Bay,Frobisher Bay
frontside,frontside
fucker,to fuck
fuel,fewell
full,ful
Fundy,Fundy
furry,furry
gadget,gadget
gag,gaggen
gambler,gamble
gamer,gamer
gang,gangen
-gate,geat
gay,gay
geek,geek
gentleman,gentilman
ghréline,ghrelin
gimmick,gimmick
gin,gin
globish,Globish
goal,gol
goalball,goalball
goddam,goddamn
gogol,googol
gospel,gospel
gourgouran,grogram
gow,girl
Grand Isle,Grand Isle
greeter,greter
grog,grog
groggy,groggy
groove,grov
guimbler,gamble
guinée,guinea
hacker,hakker
hall,halle
Halloween,Alhalwemesse
handicap,handicap
happy end,happy
hard,hard
hardware,uncountable
hashtag,hashtag
Head-Smashed-In,Head-Smashed-In
hip hop,hip-hop
hippie,hippie
hipster,hipster
hobby,hoby
hold-up,hold-up
hornette,hornet
hot-dog,hot dog
hovercraft,hovercraft
HPGP,HPGP
HTML,HTML
Hull,Hull
humour,humour
iceberg,iceberg
icône,icon
idiolecte,idiolect
impeachment,empechement
implémenter,implement
incommunicado,incommunicado
intensité,intensity
interfacer,interface
interférer,interfere
internet,Internet
Internet,Internet
interviewer,to interview
ion,ion
IPC,IPC
iPhone,iPhone
iron ring,iron ring
jacuzzi,plural
jazz,jazz
jean,Gene
jeep,jeep
jerricane,jerrycan
Jessica,Jessica
jet,get
jetlagué,jet lag
job,gobbe
jogging,jogging
Johnson,Johnson
joint,joynt
Jones,Jones
joycien,Joyce
jumping,jumping
jungle,jungle
jury,jure
Kamloops,Kamloops
kelp,culp
Kentucky,Kentucky
Kenya,Kenya
ketchup,ketchup
Kevin,Kevin
kevlar,Kevlar
KF94,KF94
kicker,kick
kid,kide
kidnappage,kidnapping
kidnapper,kidnap
kidnapping,kidnapping
klaxon,klaxon
knickerbockers,knickerbockers
knickers,knickers
Kricken,Kricken
label,label
lakh,lakh
Laurel Canyon,Laurel Canyon
lavatory,lavatorie
leader,leder
leadership,plural
let,leten
libertarianisme,libertarianism
Liberty City,Liberty City
lifting,lifting
light,light
living,living room
lob,*lubbǭ
lobby,lēaf
lobbying,lobbying
locavore,locavore
loch,lough
logo,logo
loguer,log
look,loken
loose,loos
loser,loser
Lunenburg,Lunenburg
Macintosh,Macintosh
MacKinnon,MacKinnon
magazine,magazine
magnéto,magneto
mahagoni,mahagony
mail,male
maine coon,Maine Coon
malware,malware
-man,-man
management,management
manager,manager
manosphère,manosphere
marketing,marketing
master,maister
maximiser,maximize
McKinnon,McKinnon
Medicine Hat,Medicine Hat
meeting,meeting
mégabyte,megabyte
mème,meme
métal,metal
Michael,Michael
Michigan,Michigan
Mike,Mike
mildiou,mildew
milkshake,milkshake
Miller,Miller
milord,my Lord
minimiser,minimize
minorité,minority
mistake,mistaken
mix,mixen
mixer,mixer
modem,modem
moire,mohair
moleskine,moleskin
Moore,Moore
Moose Jaw,Moose Jaw
moppe,mop
mormon,Mormon
moron,moron
