loan_word,original_word,loan_word_ipas,original_word_ipas
अंगूर,انگور,['/əŋ.ɡuːɾ/'],"['/anɡuːɾ/', '/anɡuːɾ/', '/ænɡuːɾ/', '/anɡuɾ/', '/ən.ɡuːɾ/']"
अंगूरी,انگوری,['/əŋ.ɡuː.ɾiː/'],['/əŋ.ɡuː.ɾiː/']
अंजाम,انجام,['/ən.d͡ʒɑːm/'],"['/and͡ʒɑːm/', '/and͡ʒɒːm/', '/ænd͡ʒɒːm/', '/and͡ʒɔːm/', '/əɲ.d͡ʒɑːm/', '/ən.d͡ʒɑːm/']"
अंदर,اندر,['/ən.d̪əɾ/'],['/andur/']
अंदरुनी,اندرونی,['/ən.d̪ə.ɾʊ.niː/'],[]
अंदाज़,اندازه,"['/ən.d̪ɑːd͡ʒ/', '/ən.d̪ɑːz/']","['/andɑːza/', '/andɒːza/', '/ændɒːze/', '/andɔːza/']"
अंदेशा,اندیشه,[],"['/andeːʃa/', '/andeːʃa/', '/ændiːʃe/', '/andeʃa/']"
अक्स,عکس,['/əks/'],"['/aks/', '/aks/', '/æks/', '/aks/']"
अख़बार,اخبار,"['/əkʰ.bɑːɾ/', '/əx.bɑːɾ/', '/akʰbaːr/']","['/axbɑːɾ/', '/axbɒːɾ/', '/æxbɒːɾ/', '/axbɔːɾ/', '/əx.bɑːɾ/']"
अगर,اگر,['/ə.ɡəɾ/'],['/ə.ɡəɾ/']
अगरचे,اگرچه,['/ə.ɡəɾ.t͡ʃeː/'],['/æɡæɾtʃe/']
अचार,آچار,[],"['/ɑːt͡ʃɑːɾ/', '/ɒːt͡ʃɒːɾ/', '/ɒːt͡ʃɒːɾ/', '/ɔːt͡ʃɔːɾ/']"
अजनबी,اجنبی,['/əd͡ʒ.nə.biː/'],['/əd͡ʒ.nə.biː/']
अज़दहा,اژدها,"['/əd͡ʒ.d̪ə.ɦɑː/', '/əz.d̪ə.ɦɑː/']","['/aʒdahɑː/', '/aʒdahɒː/', '/æʒdæhɒː/', '/aʒdahɔː/']"
अज़ान,اذان,"['/ə.d͡ʒɑːn/', '/ə.zɑːn/']","['/aðɑːn/', '/azɒːn/', '/æzɒːn/', '/azɔːn/']"
अज़ाब,عذاب,"['/ə.d͡ʒɑːb/', '/ə.zɑːb/']",[]
