loan_word,original_word
abcúg,Abzug
abszint,Absinth
abszorpció,Absorption
abszurditás,Absurdität
adiabatikus,adiabatisch
adszorpció,Adsorption
affin,affin
afrikanista,Afrikanist
ágens,Agent
agitáció,Agitation
agresszió,Aggression
agronómus,Agronom
akrobatikus,akrobatisch
akrosztichon,Akrostichon
aktivitás,Aktivität
akusztikus,akustisch
akvarell,Aquarell
akvárium,Aquarium
album,Album
allomorf,Allomorph
amatőr,Amateur
anakronisztikus,anachronistisch
analfabéta,Analphabet
anarchikus,anarchisch
anekdotikus,anekdotisch
anglista,Anglist
anglisztika,Anglistik
anion,Anion
ankét,Enquete
antilop,Antilope
antipatikus,antipathisch
apanázs,Apanage
apatit,Apatit
arabisztika,Arabistik
arisztokrata,Aristokrat
arisztokratikus,aristokratisch
asszisztens,Assistent
asszociativitás,Assoziativität
aszimmetrikus,asymmetrisch
aukció,Auktion
autó,Auto
automatikus,automatisch
bagázs,Bagage
bajadér,Bajadere
bajor,Bayer
bakfis,Backfisch
bál,Ball
balzsam,Balsam
Beethoven,beet hoven
beton,Beton
bibliográfus,Bibliograph
bim-bam,bimbam
biográfus,Biograph
blatt,Blatt
blende,Blende
bognár,Wagner
bólé,Bowle
bombasztikus,bombastisch
bonc,Bonze
borát,Borat
borostyán,Bernstein
brácsa,Bratsche
brikett,Brikett
budi,Bude
buli,Poule
bürokratikus,bürokratisch
cakompakk,mit Sack und Pack
cégér,Zeiger
céh,Zeche
cél,Ziel
centralizáció,Zentralisation
cérna,Zwirn
cetli,Zettel
cián,Zyan
cigaretta,Zigarette
cikcakk,Zickzack
cikkely,Zwickel
cilinder,Zylinder
cin,Zinn
cink,Zink
col,Zoll
colstok,Zollstock
copf,Zopf
cúg,Zug
cukor,Zucker
csap,Zapfen
csellista,Cellist
csokoládé,csokoládé
damaszt,Damast
decentralizáció,Dezentralisation
demokratikus,demokratisch
demoralizáció,Demoralisation
despota,Despot
desszert,Dessert
detonáció,Detonation
devalváció,Devalvation
dezertőr,Deserteur
dezodoráns,Desodorans
diapozitív,Diapositiv
didaktika,Didaktik
diktatórikus,diktatorisch
dinamikus,dynamisch
dióda,Diode
direkt,direkt
disszimiláció,Dissimilation
diszkosz,Diskus
diszkréció,Diskretion
diviz,Divis
dogmatikus,dogmatisch
dramaturg,Dramaturg
drót,Draht
dúr,Dur
dzsungel,Dschungel
dzsunka,Dschunke
eklektikus,eklektisch
elliptikus,elliptisch
energikus,energisch
epigramma,Epigramm
epizód,Episode
érc,Erz
erkély,Erkel
erotikus,erotisch
esztétikus,ästhetisch
etikett,Etikett
etikus,etisch
européer,Europäer
excentrikus,exzentrisch
expresszionista,Expressionist
expresszivitás,Expressivität
extrapoláció,Extrapolation
fagott,Fagott
fájin,comparative
fals,falsch
farsang,Fasching
favorit,Favorit
fédervejsz,Federweiß
felcser,Feldscher
fércel,fitzen
fertály,Viertel
filc,Filz
filológus,Philologe
firhang,Vorhang
flexel,Flex
fólia,Folie
fortély,Vorteil
fotel,Fauteuil
fotográfus,Photograph
föderáció,Föderation
Frankfurt,Frankfurt
frekvencia,Frequenz
frenetikus,frenetisch
friss,frisch
frizőr,Friseur
frizura,Frisur
front,Front
frontális,frontal
frufru,Froufrou
früstök,Frühstück
fuga,Fuge
fundamentális,fundamental
fuser,Pfuscher
gála,Gala
galand,Galon
gallér,Koller
gang,*ganganą
garancia,Garantie
garázs,Garage
gardedám,Gardedame
gardrób,Garderobe
gázsi,Gage
gejl,geil
geográfus,Geograph
gépely,Gepel
gerely,gerely
gesztenye,Kastanie
giccs,Kitsch
gigantikus,gigantisch
gimnázium,Gymnasium
gitár,Gitarre
gótikus,gotisch
grafikus,graphisch
gránát,Granat
gránic,Grenze
gyémánt,Diamant
hall,*hallu
halogén,Halogen
Hamburg,Hamburg
harmonikus,harmonisch
heraldika,Heraldik
herceg,Herzog
hercig,herzig
hermelin,Hermelin
heterogén,heterogen
hidraulikus,hydraulisch
hidrogén,Hydrogen
hidrosztatikus,hydrostatisch
hidroxid,Hydroxid
hierarchikus,hierarchisch
horizontális,horizontal
horoszkóp,Horoskop
hotel,Hotel
huligán,Hooligan
ideál,Ideal
illusztrál,illustrieren
impresszív,impressiv
imprimatúra,Imprimatur
improduktív,improduktiv
Imre,Amalrich
indigó,Indigo
indirekt,indirekt
indiszkréció,Indiskretion
indiszkrét,indiskret
indukció,Induktion
iniciálé,Initiale
inkorrekt,inkorrekt
intonáció,Intonation
ír,Ire
irha,irha
ironikus,ironisch
izometrikus,isometrisch
jáde,Jade
jé,je
kalligráfia,Kalligraphie
kalória,Kalorie
kályha,Kachel
kamilla,Kamille
kampány,Kampagne
kandeláber,Kandelaber
kapucni,Kapuze
karakterisztikus,charakteristisch
karaván,Karawane
karbonát,Karbonat
karcol,kratzen
karnevál,Karneval
karton,Karton
katalizátor,Katalysator
katartikus,kathartisch
kategorikus,kategorisch
kation,Kation
keksz,Keks
kémény,Kamin
kifli,Kipfl
kinematika,Kinematik
kioszk,Kiosk
klasszifikáció,Klassifikation
klór,Chlor
klorid,Chlorid
kloroform,Chloroform
koksz,Koks
kókusz,Kokos
kolonc,Klotz
kommentár,Kommentar
kommutativitás,Kommutivität
komót,kommod
kompetencia,Kompetenz
koncentráció,Konzentrazion
koncentrikus,konzentrisch
konföderáció,Konföderation
