loan_word,original_word,other_etymology,other_meaning
alpaka,अल्पक,sanskrit,"alpacca, nickel silver"
alpaka,ᬅᬮ᭄ᬧᬓ,balinese,disobey
ampul,ampul,malay,used in the form mengampul
antik,first-person possessive,javanese,ballast from small stone
asma,أَسْمَى,arabic,name
atlas,أَطْلَس,arabic,a rich satin fabric
bah,bah,malay,flood
bah,bah,malay,an exclamation of intimacy
bak,ba̍k,min nan,black Chinese ink
baki,baki,malay,everlasting
balas,balas,malay,"answer, reaction"
ban,ban,english,a ban
baret,ꦧꦼꦫꦺꦠ꧀,betawi,scratch
basal,basal,malay,"dropsy, edema"
basil,basil,english,basil
bekel,ꦧꦼꦏꦼꦭ꧀,javanese,employee of a village government
bel,bel,english,"bel, a measure of relative power, defined as log10, where P1 and P2 are the measured and reference power respectively"
beton,ꦧꦼꦠꦺꦴꦤ꧀,javanese,the seed of a jackfruit
bis,bis,latin,twice
bit,bit,english,"bit, smallest unit of storage"
bor,board,english,board
bos,boss,english,"boss, leader, head"
bum,boom,english,boom
bundar,bundar,malay,"circular, round"
cek,check,english,check
cik,cik,malay,clipping of encik
cik,cik,minangkabau,dung
cik,sihⁿ,hokkien,shoo!
dah,dah,malay,"good, okay"
dah,dah,malay,"service, duty"
dam,دَم,arabic,"fine, a punishment for breaking the law"
damas,damas,malay,out of money
debit,debit,english,debit
dek,The Shiwilu classifier system,minangkabau,because of
dom,ꦢꦺꦴꦩ꧀,javanese,needle
flop,flop,english,"flop, to strike about with something broad and flat, to rise and fall, to flap"
fon,font,english,font
gali,gali,malay,to dig
hak,hak,malay,right
hem,heme,english,The component of hemoglobin responsible for binding oxygen
intensi,intension,english,"intension, any property or quality connoted by a word, phrase or other symbol, contrasted with actual instances in the real world to which the term applies"
invalid,invalid,english,invalid
jin,jin,malay,genie
jin,jin,malay,saddle
kaf,ك,arabic,The twenty-second letter of the Arabic alphabet
kaki,kaki,malay,foot
kaki,first-person possessive,japanese,persimmon
kamar,قمر,arabic,moon
kanon,κανών,ancient greek,tax for inherited land lease
karier,carrier,english,carrier
kasa,خاصه,persian,gauze
kayak,kayak,betawi,"like, such as"
kelir,kelir,malay,"screen, the viewing surface or area of a movie, or moving picture or slide presentation"
ketel,ketel,betawi,drop
ketel,ꦏꦼꦠꦼꦭ꧀,javanese,thick
klien,client,english,"client, the role of a computer application or system that requests and/or consumes the services provided by another having the role of server"
klik,click,english,click
koli,first-person possessive,gayo,husband's older brother
kom,first-person possessive,acehnese,unhatched egg after extended nesting
komando,commando,english,"commando, a small fighting force specially trained for making quick destructive raids against enemy-held areas"
kopi,kopi,malay,coffee
korek,korek,malay,"gouge, chisel"
koroner,coroner,english,coroner
lap,lap,english,lap
legasi,legacy,english,"legacy, something inherited from a predecessor or the past"
mal,mal,malay,head
mal,mal,malay,treasure
mal,mall,english,"shopping centre, mall"
matras,matrass,english,bolthead flask
menir,first-person possessive,javanese,dust from rice grain
mental,mental,betawi,to bounce off
mental,mental,sundanese,useless
mes,mesh,english,"mesh, structure or opening"
non,nonna,late latin,apocopic form of nona
non,non-,indonesian,see kaum non
om,ओं,sanskrit,om
paus,paus,malay,whale
pelan,perlahan,malay,slow
pening,pening,malay,dizzy
pentil,ꦥꦼꦤ꧀ꦛꦶꦭ꧀,javanese,nipple
perlak,first-person possessive,minangkabau,garden
pol,poll,english,"poll, a survey of a particular group"
prop,prop,english,"property, an item placed on a stage or set to create a scene or scenario in which actors perform"
rekan,rakan,malay,"colleague, peer"
resi,resi,malay,sage
resi,resi,malay,fragrance
rok,rock,english,"rock, a style of music characterized by basic drum-beat, generally 4/4 riffs, based on guitar, bass guitar, drums and vocals"
sadis,سَادِس,arabic,sixth
seksi,sexy,english,sexy
sensor,sensor,english,"sensor, a device or organ that detects certain external stimuli and responds in a distinctive manner"
sepak,sepak,malay,kick
sepilis,first-person possessive,malay,ceiling
seri,seri,malay,alternative spelling of sri
seri,seri,malay,tied
sifon,σίφων,ancient greek,siphon
slang,slang,english,"slang, unconventional language"
slip,slip,english,slip
step,step,english,step
syok,شَوْقٌ,arabic,lovely
tapal,tapal,malay,paste
tar,tar,english,"tar, the solid residual byproduct of tobacco smoke"
tara,tara,malay,"comparable, equal, equivalent"
tara,तर,minangkabau,nailed wooden tools for making lines on wood
tara,तर,sanskrit,"picture, picture"
teras,*teRas,proto-malayo-polynesian,"heart, pith"
vas,vas,latin,vas
ya,يَا,arabic,Vocative particle
