loan_word,original_word
абажур,абажу́р
абак,аба́к
абакавир,абакавир
абандон,абандо́н
аббревиатура,аббревиату́ра
абдикация,абдика́ция
абдоминопластика,абдо̀минопла́стика
абиссаль,абисса́ль
абонемент,абонеме́нт
абонент,абоне́нт
абордаж,аборда́ж
абсолют,абсолю́т
абсолютизм,абсолюти́зм
абстракция,абстра́кция
авангард,аванга́рд
аванс,ава́нс
Август,А́вгуст
авиация,авиа́ция
авогадрит,авогадрит
авокадо,авока́до
автобус,авто́бус
автокефалия,автокефалия
автоклав,автокла́в
автолиз,автолиз
автомат,автома́т
автомобиль,автомоби́ль
автономия,автоно́мия
автор,а́втор
автоспорт,автоспо́рт
автотроф,автотроф
агава,ага́ва
агрессивті,агрессивный
агрессивтік,агрессивный
аденин,адени́н
аденозин,аденозин
адипонектин,адипонектин
адмирал,адмира́л
адрес,а́дрес
адрон,адро́н
адъютант,адъюта́нт
азимут,а́зимут
Азия,А́зия
азот,азо́т
азтреонам,азтреонам
айлант,айлант
академизм,академизм
академик,акаде́мик
академия,акаде́мия
акваланг,аквала́нг
акварель,акваре́ль
аквариум,аква́риум
аккорд,акко́рд
аккордеон,аккордео́н
аккредитив,аккредити́в
аккумулятор,аккумуля́тор
акридин,акридин
акриламид,акрилами́д
аксиома,аксио́ма
акт,акт
актант,актант
актин,актин
актиний,акти́ний
акула,аку́ла
акушерлік,акушерство
акционер,акционе́р
аланин,алани́н
алгебра,а́лгебра
алгоритм,алгори́тм
алебастр,алеба́стр
алкалоид,алкало́ид
алкан,алка́н
алкен,алкен
алкин,алки́н
алкоголь,алкого́ль
аллантоин,аллантоин
аллергия,аллерги́я
аллод,алло́д
аллотропия,аллотро́пия
алпразолам,алпразола́м
алфавит,алфавит
альбатрос,альбатрос
альбом,альбо́м
альдегид,альдеги́д
альпинизм,альпини́зм
альт,альт
альтруизм,альтруи́зм
альянс,алья́нс
алюминий,алюми́ний
америций,амери́ций
аметист,амети́ст
амид,амид
амитриптилин,амитриптили́н
аммиак,аммиа́к
амнистия,амни́стия
аморфтық,аморфность
ампер,ампе́р
амплитуда,амплиту́да
амфетамин,амфетами́н
анальгин,анальгин
ананас,ананас
анархизм,анархи́зм
анархия,ана́рхия
анастрозол,энтекавир
анатман,анатман
анатомия,анато́мия
анафилаксия,анафилакси́я
анафора,ана́фора
анаэроб,анаэроб
ангидрид,ангидрид
андалузит,андалузит
анилин,анили́н
анимация,анима́ция
анимизм,аними́зм
антенна,анте́нна
антибиотик,антибиотик
антиген,антиге́н
антидемократизм,антидемократизм
антикоммунизм,а̀нтикоммуни́зм
антинейтрон,антинейтрон
антиоксидант,антиоксидант
антипризма,антипризма
антипротон,антипротон
антисептик,антисептик
антифриз,антифриз
Антихрист,Анти́христ
антициклон,а̀нтицикло́н
антоним,анто́ним
антрацен,антраце́н
антрополог,антропо́лог
антропология,антрополо́гия
антропометрия,антропометрия
антропоцентризм,антропоцентри́зм
анчар,анча́р
апельсин,апельси́н
апокриф,апо́криф
апологет,апологе́т
апоптоз,апопто́з
аппарат,аппара́т
арбалет,арбале́т
арбутин,арбутин
аргинин,аргини́н
аргон,арго́н
арифметика,арифме́тика
ария,а́рия
арккосеканс,арккосеканс
арккосинус,аркко́синус
арккотангенс,арккота́нгенс
арксеканс,арксеканс
арксинус,аркси́нус
арктангенс,аркта́нгенс
арматура,армату́ра
армия,а́рмия
арпеджио,арпе́джио
арсенид,арсенид
артемизинин,артемизинин
артесунат,артесунат
арфа,а́рфа
архебактерия,архебактерия
археолог,архео́лог
археология,археоло́гия
архив,архи́в
аспарагин,аспараги́н
ассамблея,ассамбле́я
ассемблер,ассе́мблер
ассимиляция,ассимиля́ция
ассонанс,ассона́нс
ассоциация,ассоциа́ция
астат,аста́т
астероид,астеро́ид
астроном,астроно́м
астрофизика,астрофи́зика
атавизм,атави́зм
атазанавир,атазанавир
атаксия,атакси́я
атеизм,атеи́зм
атлас,а́тлас
атмосфера,атмосфе́ра
атом,а́том
атрибут,атрибу́т
атропин,атропи́н
атташе,атташе́
аттестат,аттеста́т
аттрактор,аттрактор
аукцион,аукцио́н
аура,а́ура
аустенит,аустенит
аутизм,аути́зм
аутсайдер,аутса́йдер
афазия,афа́зия
афелий,афе́лий
аффиксация,аффиксация
ацетальдегид,ацетальдеги́д
ацетилен,ацетиле́н
ацетонитрил,ацетонитрил
ацикловир,ацикловир
ағылшын,англичан
білте,фитиль
багаж,багаж
база,ба́за
базальт,база́льт
байдарка,байда́рка
бактерия,бакте́рия
бал,бал
баланс,бала́нс
балет,бале́т
балкон,балко́н
баллистика,балли́стика
бамбук,бамбу́к
бампер,ба́мпер
банан,бана́н
банда,ба́нда
банк,банк
банкет,банке́т
банкнот,банкно́т
банкомат,банкома́т
баобаб,баоба́б
барельеф,барелье́ф
барий,ба́рий
баритон,барито́н
бармен,барме́н
барқыт,ба́рхат
бас,бас
баскетбол,баскетбо́л
батарея,батаре́я
батат,бата́т
батолит,батолит
бегемот,бегемо́т
бекет,пике́т
беккерель,беккерель
Беларусь,Белару́сь
бензин,бензи́н
бензол,бензо́л
берет,бере́т
бериллий,бери́ллий
берклий,бе́рклий
берш,берш
бестселлер,бестсе́ллер
бетон,бето́н
бешамель,бешамель
биатлон,биатло́н
бизон,бизо́н
бикини,бики́ни
билет,биле́т
бильярд,билья́рд
биогеография,биогеогра́фия
биолог,био́лог
биология,биоло́гия
биомасса,биомасса
биосфера,биосфе́ра
биота,биота
бит,ведь
битум,би́тум
бифштекс,бифште́кс
бихевиоризм,бихевиоризм
бланк,бланк
блокчейн,блокчейн
бобслей,бобсле́й
бодхисаттва,бодхисаттва
бозон,бозо́н
бокс,бокс
бомба,бо́мба
бор,бор
борат,бора́т
борий,бо́рий
ботаника,бота́ника
боқырау,покро́в
браконьер,браконье́р
брауни,бра́уни
брахман,брахма́н
бригадир,бригади́р
брифинг,бри́финг
броламфетамин,броламфетамин
бром,бром
бромид,броми́д
Будда,Будда
будда,бу́дда
буддизм,будди́зм
буддист,будди́ст
будесонид,будесонид
бульдозер,бульдо́зер
бупивакаин,бупивакаин
буржуазия,буржуази́я
бутан,бута́н
бутерброд,бутербро́д
бухгалтер,бухга́лтер
бухгалтерия,бухгалте́рия
бюллетень,бюллете́нь
бюретка,бюре́тка
бюро,бюро́
бюрократ,бюрокра́т
Бұдда,Будда
Бұддһа,Будда
бұғалтыр,бухга́лтер
бәтеңке,ботинок
бөкебай,пухо́вый
бөрене,бревно
бөтелке,буты́лка
бөшке,бочка
вагон,ваго́н
вакуоль,вакуоль
вакуум,ва́куум
вакцина,вакци́на
вакцинация,вакцина́ция
валторна,валто́рна
вальс,вальс
ванадий,вана́дий
ваниль,вани́ль
ватт,ватт
вебер,вебер
ведомство,ве́домство
вексель,ве́ксель
вектор,ве́ктор
велосипед,велосипе́д
велоспорт,велоспо́рт
венерология,венероло́гия
верапамил,верапамил
вермишель,вермише́ль
вестерн,ве́стерн
взвод,взвод
вибрафон,вибрафон
вингсьют,вингсьют
винкристин,винкристин
винорелбин,винорелбин
виолончель,виолонче́ль
вирус,ви́рус
вирусология,вирусоло́гия
виски,ви́ски
висмут,ви́смут
волейбол,волейбо́л
вольфрам,вольфра́м
вориконазол,вориконазол
вортицизм,вортицизм
вотум,во́тум
вуду,ву́ду
гадолиний,гадоли́ний
газ,газ
газет,газе́та
галаго,галаго
галактика,гала́ктика
галерея,галере́я
галлий,га́ллий
галлюцинация,галлюцина́ция
галоген,галоге́н
галогенид,галогенид
галоперидол,галоперидол
галстук,га́лстук
гамбургер,га́мбургер
гангрена,гангре́на
ганцикловир,ганцикловир
гаплотип,гаплоти́п
гаргуйль,гаргу́йль
гардероб,гардеро́б
гафний,га́фний
гексадекан,гексадека́н
гексан,гекса́н
гелий,ге́лий
гемоглобин,гемоглоби́н
ген,ген
генерал,генера́л
генетика,гене́тика
геном,гено́м
генри,ге́нри
геодезия,геоде́зия
геолог,гео́лог
геоморфология,геоморфоло́гия
гептадекан,гептадекка́н
гептан,гепта́н
германий,герма́ний
герменевтика,гермене́втика
героин,герои́н
герц,герц
гетеротроф,гетеротроф
гигиена,гигие́на
гигрометр,гигрометр
гидравлика,гидра́влика
гидрид,гидри́д
гидрография,гидрогра́фия
гидроксид,гидрокси́д
гидролиз,гидролиз
гидромеханика,гидромеханика
гидросфера,гидросфера
гидротехника,гидротехника
гимнаст,гимна́ст
гимнастика,гимна́стика
гипербола,гипе́рбола
гиперболоид,гиперболоид
гиперреализм,гиперреализм
гипертония,гипертони́я
гиперфункция,гиперфункция
гипноз,гипно́з
гипотеза,гипо́теза
гипофиз,гипофиз
гиппокамп,гиппокамп
гипс,гипс
гистамин,гистамин
гистидин,гистиди́н
гистология,гистология
гитара,гита́ра
глаукома,глауко́ма
гликоген,гликоген
гликозид,гликозид
гликолипид,гликолипид
глицерин,глицери́н
глицин,глицин
глобус,гло́бус
глутамин,глутами́н
глюкагон,глюкагон
глюкокортикоид,глюкокортикоид
глюконеогенез,глюконеогенез
глюон,глюо́н
гном,гном
гну,гну
го,го
гоблин,го́блин
гобой,гобо́й
годограф,годограф
голография,голография
гольмий,го́льмий
гольф,гольф
горилла,гори́лла
гормон,гормо́н
гравитация,гравита́ция
градиент,градие́нт
градус,гра́дус
грамматология,грамматология
граммема,граммема
гранит,грани́т
грант,грант
граф,граф
графема,графе́ма
графен,графе́н
графика,гра́фика
граффити,граффи́ти
грей,грей
грейпфрут,грейпфру́т
грек,грек
гризеофульвин,гризеофульвин
гроссмейстер,гроссме́йстер
Грузия,Гру́зия
гуанин,гуани́н
гуанозин,гуанозин
гуашь,гуа́шь
губка,гу́бка
гуманизм,гумани́зм
гумус,гумус
дадаизм,дадаи́зм
дайвинг,да́йвинг
даклатасвир,даклатасвир
даман,дама́н
даосизм,даоси́зм
дапсон,дапсон
дарвинизм,дарвини́зм
дармштадтий,дармшта́дтий
дарунавир,дарунавир
дебютант,дебюта́нт
декан,дека́н
декларация,деклара́ция
деконструкция,деконструкция
делегат,делега́т
делегация,делега́ция
дельфин,дельфи́н
демарш,дема́рш
демография,демогра́фия
демократ,демокра́т
демократия,демокра́тия
дендрит,дендрит
дентин,дентин
деонтология,деонтология
департамент,департа́мент
депо,депо́
дерматология,дерматоло́гия
дерматомиозит,дерматомиозит
деспотизм,деспоти́зм
детектив,детекти́в
дешифратор,дешифратор
диагноз,диа́гноз
диагностика,диагно́стика
диагональ,диагона́ль
диазепам,диазепам
диалектика,диале́ктика
диалог,диало́г
диамагнетизм,диамагнетизм
диаспора,диа́спора
диахрония,диахрония
дивизия,дивизия
дизайн,диза́йн
дизайнер,диза́йнер
дизентерия,дизентери́я
диктатор,дикта́тор
диктатура,диктату́ра
динозавр,диноза́вр
диод,дио́д
диоксин,диоксин
дипломат,диплома́т
дипсомания,дипсомания
директор,дире́ктор
дирижёр,дирижёр
дирижабль,дирижа́бль
дисконт,диско́нт
дискотека,дискоте́ка
дисплей,диспле́й
диспрозий,диспро́зий
диссертация,диссерта́ция
дистрибьютор,дистрибью́тор
дисфория,дисфори́я
дифтерия,дифтери́я
дифференциал,дифференциа́л
диффузия,диффу́зия
додекан,додека́н
додекаэдр,додека́эдр
доза,до́за
доктрина,доктри́на
доломит,доломит
домна,до́мна
драма,дра́ма
драматург,драмату́рг
драматургия,драматурги́я
дроссель,дро́ссель
дуализм,дуализм
дубляж,дубля́ж
дубний,ду́бний
евгеника,евгеника
епископ,епи́скоп
еуропий,европий
ефрейтор,ефре́йтор
жандармерия,жандармерия
жанр,жанр
желатин,желати́н
жеребе,жребий
жорнал,журна́л
журнал,журна́л
журналистика,журнали́стика
жәрмеңке,ярмарка
жәшік,ящик
запас,запа́с
заряд,заря́д
зауыт,заво́д
зиверт,зиверт
зодиак,зодиа́к
зона,зо́на
зонд,зонд
ибупрофен,ибупрофе́н
ивермектин,ивермектин
идеал,идеа́л
идеализм,идеали́зм
идеология,идеоло́гия
идея,иде́я
идиллия,иди́ллия
идиома,идио́ма
иероглиф,иеро́глиф
Иерусалим,Иерусали́м
изомер,изоме́р
изомерия,изомери́я
изоморфизм,изоморфизм
изотоп,изото́п
икосаэдр,икосаэдр
иммунитет,иммуните́т
иммунология,иммуноло́гия
импеданс,импеданс
императив,императи́в
император,импера́тор
империализм,империализм
империя,импе́рия
импичмент,импи́чмент
импрессионизм,импрессиони́зм
импульс,и́мпульс
инактивация,инактивация
инвариант,инвариант
