loan_word,original_word
Abram,Ábrány
Abucea,Abucsa
Abuș,Abos
acaț,akác
Acâș,Ákos
Aciliu,Ecsellő
Aciu,Ács
Acmariu,Otmár
Adămuș,Ádámos
Adea,Agya
Adjud,Egyd
Adorian,Adorján
Adrian,Adorján
Agăș,Ágas
Agârbiciu,Egerbegy
Aghireș,égeres
Aghireșu,Egeres
Agrieș,Egres
Agrij,Egregy
agriș,egres
Agrișteu,Egrestő
Aiton,Ajtony
Aiud,Enyed
Alămor,Alamor
Albiș,Albis
alcătui,alkot
aldămaș,áldomás
alean,ellen
Aleșd,Élesd
Aleuș,Elyüs
Alma,Almás
Almaș,Almás
Almaș-Săliște,Almás
Almașu,Almás
Almașu de Mijloc,Almás
Almașu Mic,Almás
Almașu Mic de Munte,Almás
Almașu Sec,Almás
Almăj,Almás
Almășel,Almás
Alparea,Alpár
altoi,olt
Ambăruș,Ambrus
Ambud,Ombod
Andor,Andor
Andrid,Endréd
Andriș,Andris
Andru,Andor
Ant,Ant
Antal,ántalag
Apadia,Apádia
Apahida,Apahida
Apateu,Apáti
Apatiu,Apáti
Apața,Apáca
Apold,Apold
aprod,apród
Arăneag,Aranyág
Arănieș,Aranyos
Arcalia,Árokalja
Archia,Árki
Archid,Erked
Archiș,Árkos
Archiud,Erked
Arcoș,Árkos
Arcuș,Árkos
Ardan,Árdány
Ardeal,Erdély
Ardeu,Erdő
Ardud,Erdőd
Arghișu,Argyas
Arieș,Aranyos
Ariușd,Erősd
Armeniș,Örményes
arpacaș,árpakása
arțag,harcag
Aruncuta,Aranykút
Arva,Árva
Asău,Aszó
Asinip,Asszonynépe
Astaloș,Asztalos
Așchileu,Esküllő
Aștileu,Esküllő
Atea,Atya
Ateaș,Atyás
Atia,Atyha
Atid,Etéd
atrățel,aracél
Ațintiș,Acintos
Babța,Bábca
Bacău,bakó
Bacova,Bakóvár
Badon,Bádon
bai,baj
baie,bánya
Balaj,Balázs
Balda,Báld
Balint,Bálint
Band,Bánd
Banloc,Bánlak
Banpotoc,Bánpatak
Barabas,Barabás
Barabaș,Barabás
baraboi,barabolya
Baraolt,Barót
Baratca,Barátka
Barațcoș,Barackos
Barați,Barát
Barbeli,Borbély
bardă,bárd
Barna,Barna
barșon,bársony
Bașta,bástya
Bata,Batta
Batăr,Batár
Batoș,Bátos
Bazna,Bázna
Băbiu,Bábony
Băcia,Bácsi
Băgaciu,Bogács
Băgara,Bogár
Băgău,Bagó
Bălaj,Balázs
Bălăușeri,Balavására
Bălcaciu,Bolkács
bănat,bánat
bănui,bán
bărat,barát
Bărăbanț,Borbánd
Bărăteaz,Barátháza
Bărcut,Báránykút
bărnaci,barnás
Bătarci,Batarcs
bâlci,bolcsu
bântui,bántani
Bârlibaș,Barlabás
Bârnadu,Bernád
Bârsău,Borszó
Becaș,Békás
Beclean,Bethlen
Bedeciu,Bedecs
Beica,béka
Beiuș,Belényes
Beldiu,Béld
Belin,Bölön
belșug,bőség
Benedek,Benedek
Benic,Benedek
Bențid,Bencéd
berc,berek
Berchez,Berkesz
Berchieșu,Berkenyes
Berea,Bere
Berechiu,Barakony
Berecuța,Berekutca
Beregsău Mare,Berekszó
Beregsău Mic,Berekszó
Berliște,Berlistye
Bernadea,Bernád
Bertalan,Bertalan
beseadă,beszéd
Beșimbac,Besimbák
Beșinău,Besenyő
Beta,Béta
beteag,beteg
beteșug,betegség
Beudiu,Bőd
Bezded,Bezdéd
Bezid,Bözöd
bibic,bibic
Bic,Bükk
Bica,Bikal
Bicaci,Bikács
Bicașu,Bikás
Bicaz,Békás
Bicălatu,Bikal
Bicău,Bikó
Bicfalău,Bikfalva
Bichigi,Békés
Bichigiu,Bükkös
Bichiș,Bükkös
Biharia,Bihar
Bilbor,Bélbor
Biled,Billéd
Bilghez,Bilgoz
Biniș,Bényes
bir,bér
birău,bíró
Birchiș,Berkes
Birtin,Bertény
birui,bír
Bita,Bita
bitang,bitang
Biușa,Bősháza
Bixad,Bükszád
bizui,bizni
Blaj,Balázs
Blaja,Balázsháza
Blaju,Balázs
Bobâlna,Bábolna
Bobohalma,Bábahalma
Bobota,Babod
bocanc,bakancs
Bocsig,Bokszeg
bocșă,boksa
Bod,Bot
Bodoș,Bodos
Bogdand,Bogdánd
Boghiș,Bagos
boglar,boglár
boglari,boglár
Boitor,Bojtor
Boiu,Bún
bolând,bolond
Boldijar,Boldizsár
Boldur,Boldor
Bonț,Bonc
Bonțida,Bonchida
Borbil,Borbély
borcan,borkancsó
Borcut,Borkút
Bord,Bord
Bordoșiu,Bordos
Borod,Báród
Boroș,Boros
Borsec,Borszék
Borș,Bors
Borumlaca,Baromlak
borviz,borvíz
Boș,Bós
botă,bot
Botean,Bottyán
Botiza,Batizháza
Botoș,Botos
Bozed,Bazéd
Bozeș,Bózes
Brateiu,Baráthely
Brateș,Barátos
Brâznic,Briznik
Brețcu,Bereck
brișcă,bicska
Brotuna,Brotuna
Buduslău,Bogyoszló
Bulci,Bulcs
bundă,bunda
Burjuc,Burzsuk
burzului,borzolni
busuioc,bosziók
butaș,bujtás
Buzad,Buzád
Buzaș,Búzas
Buzău,*Bozó
Buzd,Buzd
Buziaș,Buziás
Cadar,Kádár
Cadariu,Kádár
Caila,Kajla
Calonda,Kalonda
Camăr,Kémer
canaf,kanaf
Canceal,Kancsal
cancioc,kancsó
captalan,káptalan
Carastelec,Kárásztelek
