loan_word,original_word,other_etymology,other_meaning
baie,balneum,latin,bathroom
căprar,caprārius,latin,goatherd
cupă,cuppa,late latin,"goblet , bowl, dish"
cupă,κούπα,greek,"hearts, cups"
jale,жаль,old church slavonic,"grief, distress"
mai,маи,old church slavonic,May
mai,magis,latin,more
mai,malleus,latin,"mallet, maul, sledgehammer, rammer, club"
Râșca,річка,ukrainian,"A river in Suceava, Romania, tributary to the Moldova"
sobă,صوبا,ottoman turkish,"stove, oven"
tablă,τάβλι,greek,backgammon
uric,urique,french,uric
