loan_word,original_word
آئرلینڈ,Ireland
آسٹریا,Austria
ارجنٹائن,Argentina
اردلی,orderly
اسٹیشن,station
امریکا,America
انٹرنیٹ,internet
انڈیا,India
انگلینڈ,England
اٹاچی,attache
اپریل,April
اکتوبر,October
ایتھنز,Athens
ایجنٹ,agent
ایسٹر,Easter
ایف ایم,FM
ایلما,Alma
اینٹورپن,Antwerp
ایڈز,AIDS
ایڈس,AIDS
بائبل,Bible
بائیسکل,bicycle
باٹھروم,bathroom
برسلز,Brussels
برمنگھم,Birmingham
بور,bore
بوچڑ,butcher
بکس,box
جاپان,Japan
جرمنی,Germany
جنرل,general
جیل,jail
راکٹ,rocket
روانڈا,Rwanda
روچڈیل,Rochdale
زار,czar
سائز,size
سائنس,science
سگریٹ,cigarette
سینیٹر,senator
شاور,shower
شاپر,shopper
شو,show
شیفیلڈ,Sheffield
شیو,shave
صوفہ,sofa
فادر,father
فرانس,France
فلم,film
فون,phone
لائبریری,library
لتھوینیا,Lithuania
لسبین,lesbian
لیئج,Liège
لیسٹر,Leicester
لیل,Lille
لیون,Lyon
مانچسٹر,Manchester
مدراس,Madras
منٹ,minute
مورمن,Mormon
ناولٹ,novelette
نن,nun
نیوزی لینڈ,New Zealand
وائی فائی,Wi-Fi
ودکا,vodka
وہسکی,whiskey
ویژن,vision
ٹرام,tram
ٹلفورڈ,Tilford
ٹماٹر,tomato
ٹکٹ,ticket
ٹیلی ویژن,television
پاستا,pasta
پاسپورٹ,passport
پال,Paul
پتلون,pantaloon
پراسیکیوٹر,prosecutor
پروسٹیٹ,prostate
پریڈ,parade
پوپ,pope
پیرس,Paris
چرچ,church
چکنگنیا,chikungunya
چین,chain
ڈاکٹر,doctor
ڈایناسور,dinosaur
ڈنکرک,Dunkirk
ڈچ,Dutch
کاؤ دائی,Cao Dai
کاتھولک,Catholic
کارڈ,card
کرکٹ,cricket
کلکتہ,Calcutta
کمپیوٹر,computer
کنٹرول,control
کوٹ,coat
کپتان,captain
کیتھولک,Catholic
کیف,Kiev
کیلکولیٹر,calculator
کیلے,Calais
کیمرہ,camera
کینسر,cancer
کینیڈا,Canada
گرام,gram
گلاس,glass
گنی,guinea
گے,gay
ہارٹلے پول,Hartlepool
ہانگ کانگ,Hong Kong
ہنزلو,Hounslow
ہوٹل,hotel
یورپ,Europe
یونائٹڈ کنگڈم,United Kingdom
یوکرین,Ukraine
